id,milage,brand,model,fuel,gear,offerType,price,horse power,year,engine size,doors,seats,previous owner,color,category,image url
1,25699,Mercedes-Benz,V 250,Diesel,Automatic,Employee's car,63336,190.0,2020,2.5,4,4,2,Silver,Luxury,https://example.com/image.jpg
2,33572,Volvo,V90 Cross Country,Diesel,Automatic,Used,31995,190.0,2018,4.8,4,4,2,White,Pickup,https://example.com/image.jpg
3,12500,Mazda,3,Gasoline,Automatic,Used,26990,179.0,2019,3.9,4,4,3,Black,Hatchback,https://example.com/image.jpg
4,29750,BMW,320,Diesel,Automatic,Used,38900,190.0,2019,3.4,4,4,1,Gray,Luxury,https://example.com/image.jpg
5,99121,Peugeot,206,Gasoline,Manual,Used,3999,60.0,2011,1.6,4,4,3,Black,Sports Car,https://example.com/image.jpg
6,100,Opel,Corsa,Gasoline,Manual,Pre-registered,17489,101.0,2021,1.6,2,2,3,Silver,Pickup,https://example.com/image.jpg
7,84200,Skoda,Citigo,Gasoline,Manual,Used,5800,60.0,2016,1.2,2,2,2,White,Sports Car,https://example.com/image.jpg
8,38886,BMW,116,Gasoline,Manual,Used,11687,136.0,2014,4.5,2,2,2,Blue,SUV,https://example.com/image.jpg
9,17900,Mercedes-Benz,EQC 400,Electric,Automatic,Used,62950,408.0,2019,3.4,4,2,0,Green,Sedan,https://example.com/image.jpg
10,79000,Kia,Picanto,Gasoline,Manual,Used,5295,69.0,2012,3.8,4,4,0,Gray,Pickup,https://example.com/image.jpg
11,7500,Volkswagen,Caddy,Gasoline,Manual,Employee's car,21930,84.0,2020,1.1,2,4,3,White,SUV,https://example.com/image.jpg
12,47869,Ford,Fiesta,Gasoline,Manual,Used,4500,60.0,2011,4.9,4,2,1,Silver,SUV,https://example.com/image.jpg
13,1858,Renault,Twingo,Gasoline,Manual,Demonstration,11580,65.0,2021,4.3,2,4,2,Gray,Pickup,https://example.com/image.jpg
14,4425,Fiat,500C,Gasoline,Manual,Used,17999,86.0,2018,1.8,2,2,2,Red,Sports Car,https://example.com/image.jpg
15,5488,Hyundai,Tucson,Gasoline,Manual,Used,17990,135.0,2019,1.7,2,4,3,Black,Hatchback,https://example.com/image.jpg
16,115800,Ford,Focus,Gasoline,Manual,Used,9480,150.0,2014,1.7,4,2,0,Green,SUV,https://example.com/image.jpg
17,12000,Volkswagen,Passat Variant,Diesel,Manual,Used,20988,120.0,2016,2.2,4,4,1,Silver,Luxury,https://example.com/image.jpg
